company,title,location
refurbed,Data Analyst - Marketing (f/m/x),"Berlin, Germany"
FactoryPal,IIoT Business Data Analyst (m/f/d),"Berlin, Germany"
Bolt,"Senior Data Analyst, Applied Marketing Measurement (Relocation to Tallinn)","Berlin, Germany"
Ottobock,Power BI Report Designer (d/f/m),"Berlin, Berlin, Germany"
Jooble,Big Data Analyst / Business Analyst (m/w/d),"Berlin, Berlin, Germany"
Jooble,Big Data Analyst / Business Analyst (m/w/d),"Potsdam, Brandenburg, Germany"
Jooble,Big Data Analyst / Business Analyst (m/w/d),"Ludwigsfelde, Brandenburg, Germany"
Lovehoney Group,Business Analyst (eCommerce),"Berlin, Berlin, Germany"
Capgemini,Business Analyst Data & AI Life Sciences (w/m/d),"Berlin, Berlin, Germany"
Jooble,Big Data Analyst / Business Analyst (m/w/d),"Falkensee, Brandenburg, Germany"
THRYVE,Senior Digital Marketing Analyst,"Berlin, Germany"
Peak Ace AG,Digital Marketing Analyst (m/w/d),"Berlin, Berlin, Germany"
umaris GmbH & Co. KG,Big Data Analyst / Business Analyst (m/w/d),"Falkensee, Brandenburg, Germany"
umaris GmbH & Co. KG,Big Data Analyst / Business Analyst (m/w/d),"Ludwigsfelde, Brandenburg, Germany"
umaris GmbH & Co. KG,Big Data Analyst / Business Analyst (m/w/d),"Berlin, Berlin, Germany"
KoRo,(Senior) Marketing Analyst (m/f/d),"Berlin, Berlin, Germany"
simplesurance,"Digital Business Analyst (all genders) - Berlin, Germany","Berlin, Germany"
Avaloq,Business Analyst - Second Level Support,"Berlin, Berlin, Germany"
LYNX,Business Analyst,"Berlin, Germany"
Deutsche Rentenversicherung Bund,Businessanalyst*in (m/w/div),"Berlin, Berlin, Germany"
KoRo,(Senior) Marketing Analyst (m/f/d),"Berlin, Berlin, Germany"
Agoda,"Business Data Analyst (Bangkok Based, relocation provided)","Berlin, Berlin, Germany"
Engel & Völkers Commercial Berlin,Market Analyst / Research Analyst (m/w/d),"Berlin, Berlin, Germany"
Zalando,Business Analyst - Customer Care (all genders),"Berlin, Berlin, Germany"
FLEX Capital,Business AnalystIn,"Berlin, Berlin, Germany"
